topic	group_id	source_file	physical_pages	source_task	objective	classification	conceptual_first
3	T03-A01	statistik1_uebungsblatt10.pdf	1	Aufgabe 3	Formulate null and alternative hypotheses and interpret Type I and Type II errors in context.	theory	false
3	T03-A02	statistik1_uebungsblatt11.pdf	1	Aufgabe 1	Calculate sample estimates and an estimated standard error and name their population targets.	calculator	true
3	T03-A03	statistik1_uebungsblatt11.pdf	1	Aufgabe 2	Construct known-sigma confidence intervals across several sample sizes.	calculator	false
3	T03-A04	statistik1_uebungsblatt11.pdf	2	Aufgabe 3	Explain and calculate how confidence level, sample size, and variability affect interval width.	mixed	true
3	T03-A05	statistik1_uebungsblatt12.pdf	1	Aufgabe 1	Carry out a one-sided z test and identify the decision error that remains possible.	mixed	true
3	T03-A06	statistik1_uebungsblatt12.pdf	1	Aufgabe 2	Formulate and carry out a two-sided z test.	calculator	true
3	T03-A07	statistik1_uebungsblatt12.pdf	1-2	Aufgabe 3	Distinguish p-value and power, calculate both, and plan a sample size for target power.	mixed	true
3	T03-A08	statistik1_uebungsblatt13.pdf	1	Aufgabe 1	Carry out a two-sided test and connect the result with interval estimation and practical size.	mixed	true
3	T03-A09	statistik1_uebungsblatt13.pdf	1	Aufgabe 2	Interpret t quantiles, symmetry, degrees of freedom, and convergence toward the normal distribution.	theory	false
3	T03-A10	statistik1_uebungsblatt13.pdf	1	Aufgabe 3	Choose and carry out a one-sample t test when population variance is unknown.	calculator	true
3	T03-A11	statistik1_uebungsblatt13.pdf	1	Aufgabe 4	Construct a one-sample t interval and use its duality with the matching two-sided test.	mixed	true
3	T03-A12	statistik1_uebungsblatt14.pdf	1	Aufgabe 1	Identify independent samples and carry out a pooled two-sample t test under equal variance.	mixed	true
4	T04-A01	statistik2_uebungsblatt1.pdf	1	Aufgabe 1	Calculate Pearson correlation and recognize that a near-zero coefficient can conceal nonlinear association.	mixed	true
4	T04-A02	statistik2_uebungsblatt1.pdf	1	Aufgabe 2	Explain a third-variable account and the boundary between correlation and causation.	theory	false
4	T04-A03	statistik2_uebungsblatt1.pdf	1-2	Aufgabe 3	Calculate Pearson correlation, test a directional population correlation, and separate statistical from practical importance.	mixed	true
4	T04-A04	statistik2_uebungsblatt1.pdf	2	Aufgabe 4	Assign ranks and calculate Spearman correlation.	calculator	false
4	T04-A05	statistik2_uebungsblatt1.pdf	3	Aufgabe 5	Compare Pearson and Spearman correlation for a monotonic nonlinear pattern.	mixed	true
4	T04-A06	statistik2_uebungsblatt2.pdf	1	Aufgabe 1	Calculate Spearman correlation with ties and reason about invariance under a positive linear transformation.	mixed	true
4	T04-A07	statistik1_uebungsblatt2.pdf	1	Aufgabe 1, cases 1 and 3	Diagnose causal, third-variable, measurement, sampling, and aggregate-to-individual problems in association claims.	theory	false
5	T05-A01	statistik2_uebungsblatt2.pdf	1-2	Aufgabe 2	Read a scatterplot, calculate least-squares coefficients from raw sums, interpret them, and make an in-range prediction.	calculator	true
5	T05-A02	statistik2_uebungsblatt2.pdf	2	Aufgabe 3	Move from means, standard deviations, and covariance to correlation, a regression line, and a point prediction.	mixed	true
5	T05-A03	statistik2_uebungsblatt3.pdf	1	Aufgabe 1	Distinguish and interpret unstandardized and standardized slopes.	calculator	true
5	T05-A04	statistik2_uebungsblatt3.pdf	1-2	Aufgabe 2	Locate coefficients in output, interpret signs and units, and compare standardized slopes.	mixed	true
5	T05-A05	statistik2_uebungsblatt3.pdf	2	Aufgabe 3	Calculate regression coefficients and obtain R-squared from explained and total sums of squares.	calculator	false
5	T05-A06	statistik2_uebungsblatt4.pdf	1	Aufgabe 1	Test a regression slope, interpret its p-value, construct a confidence interval, and connect interval and test.	mixed	true
5	T05-A07	statistik2_uebungsblatt4.pdf	1	Aufgabe 2	State and test the simple-regression model hypothesis through R-squared.	calculator	true
5	T05-A08	statistik2_uebungsblatt4.pdf	1-2	Aufgabe 3	Combine slope inference, R-squared, model testing, and careful substantive interpretation when evidence is weak.	theory	false
5	T05-A09	statistik2_uebungsblatt5.pdf	1	Aufgabe 1	Use graphical evidence to distinguish a plausible residual distribution from an obvious normality violation.	theory	false
5	T05-A10	statistik2_uebungsblatt5.pdf	1	Aufgabe 2	Compare original-data and residual plots for a sound linear model, nonlinearity, and unequal residual variance.	theory	false
6	T06-A01	statistik2_uebungsblatt5.pdf	1-2	Aufgabe 3	Calculate a partial correlation from residuals and verify it with the three-correlation formula.	calculator	true
6	T06-A02	statistik2_uebungsblatt5.pdf	2	Aufgabe 4	Explain the difference between bivariate and partial correlation with a conceptual shared-variance visual.	theory	false
7	T07-A01	statistik2_uebungsblatt6.pdf	1-2	Aufgabe 1	Read a multiple-regression equation and output and interpret conditional coefficients, coefficient tests, and model fit.	mixed	true
7	T07-A02	statistik2_uebungsblatt6.pdf	2-3	Aufgabe 2	Compare a nested model sequence with R-squared, adjusted R-squared, and an explicit decrement test.	mixed	true
7	T07-A03	statistik2_uebungsblatt6.pdf	3	Aufgabe 3	Distinguish the global F test from individual coefficient t tests and their null hypotheses.	mixed	true
7	T07-A04	statistik2_uebungsblatt7.pdf	1	Aufgabe 1	Use semipartial correlations and incremental R-squared in a forward model-building argument.	mixed	true
7	T07-A05	statistik2_uebungsblatt7.pdf	1-3	Aufgabe 2	Carry out sequential forward comparison by AIC, trace the AIC path, state the final model, and interpret it cautiously.	mixed	true
7	T07-A06	statistik2_uebungsblatt8.pdf	1	Aufgabe 1	Construct k minus one dummy indicators and identify the reference category.	theory	false
7	T07-A07	statistik2_uebungsblatt8.pdf	1	Aufgabe 2	Interpret a binary group indicator and quantitative predictor in an additive common-slope model.	mixed	true
7	T07-A08	statistik2_uebungsblatt8.pdf	1-2	Aufgabe 3	Change the reference category and verify that fitted group relationships remain unchanged.	mixed	true
7	T07-A09	statistik2_uebungsblatt8.pdf	3	Aufgabe 4	Construct, calculate, graph, and interpret a group-by-quantitative-predictor interaction.	mixed	true
8	T08-A01	statistik2_uebungsblatt9.pdf	1	Aufgabe 1	State the question and hypotheses answered by one-way ANOVA.	theory	false
8	T08-A02	statistik2_uebungsblatt9.pdf	1	Aufgabe 2	Plot group means, calculate the complete sum-of-squares partition, and carry out a one-way F test.	calculator	true
8	T08-A03	statistik2_uebungsblatt9.pdf	1-2	Aufgabe 3	Reconstruct a one-way ANOVA table, state hypotheses, identify balance, and separate association from causal design.	mixed	true
8	T08-A04	statistik2_uebungsblatt10.pdf	1	Aufgabe 1	Compare simple pairwise contrasts with a pooled complex contrast.	calculator	true
8	T08-A05	statistik2_uebungsblatt10.pdf	1	Aufgabe 2	Count all pairwise comparisons and calculate a Bonferroni per-test threshold.	calculator	true
8	T08-A06	statistik2_uebungsblatt10.pdf	2	Aufgabe 3	Define each comparison family honestly and distinguish prospective planning from data-dependent selection.	theory	false
8	T08-A07	statistik2_uebungsblatt10.pdf	2-3	Aufgabe 4	Compare candidate trend weights, sketch them, repair an invalid contrast, and test the valid linear trend.	mixed	true
8	T08-A08	statistik2_uebungsblatt11_korrigiert.pdf	1	Aufgabe 1	Complete cell and marginal means, reconstruct factorial tests, and interpret a means plot with interaction.	mixed	true
8	T08-A09	statistik2_uebungsblatt11_korrigiert.pdf	2	Aufgabe 2	Distinguish fixed and random factors, state the population target, and calculate a one-way random-factor ICC.	mixed	true
8	T08-A10	statistik2_uebungsblatt11_korrigiert.pdf	2-3	Aufgabe 3	Assess sphericity from variances and correlations, test condition and person effects, calculate ICC, and apply Greenhouse-Geisser correction.	mixed	true
